# H AMS02(2011/11-2011/12)
# <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.921364e-01 4.352946e-01 5.564008e-01 1.111158e+03 -8.013457e+00 8.013457e+00 -3.541206e+01 3.541206e+01 3.630743e+01 3.630743e+01
6.207188e-01 5.564008e-01 6.924719e-01 1.045180e+03 -3.635590e+00 3.635590e+00 -2.818831e+01 2.818831e+01 2.842179e+01 2.842179e+01
7.640104e-01 6.924719e-01 8.429394e-01 9.583603e+02 -2.947294e+00 2.947294e+00 -2.115680e+01 2.115680e+01 2.136110e+01 2.136110e+01
9.254392e-01 8.429394e-01 1.016013e+00 8.559618e+02 -2.029503e+00 2.029503e+00 -1.742343e+01 1.742343e+01 1.754123e+01 1.754123e+01
1.105475e+00 1.016013e+00 1.202814e+00 7.507486e+02 -1.666110e+00 1.666110e+00 -1.413744e+01 1.413744e+01 1.423528e+01 1.423528e+01
1.303178e+00 1.202814e+00 1.411917e+00 6.526621e+02 -1.352224e+00 1.352224e+00 -1.141401e+01 1.141401e+01 1.149383e+01 1.149383e+01
1.523198e+00 1.411917e+00 1.643250e+00 5.593972e+02 -1.117601e+00 1.117601e+00 -9.163752e+00 9.163752e+00 9.231651e+00 9.231651e+00
1.765414e+00 1.643250e+00 1.896660e+00 4.740094e+02 -9.060313e-01 9.060313e-01 -7.333803e+00 7.333803e+00 7.389557e+00 7.389557e+00
2.034101e+00 1.896660e+00 2.181501e+00 3.982040e+02 -7.410413e-01 7.410413e-01 -5.884608e+00 5.884608e+00 5.931084e+00 5.931084e+00
2.329804e+00 2.181501e+00 2.488190e+00 3.356730e+02 -6.003664e-01 6.003664e-01 -4.787367e+00 4.787367e+00 4.824865e+00 4.824865e+00
2.651803e+00 2.488190e+00 2.826175e+00 2.790278e+02 -4.944931e-01 4.944931e-01 -3.822318e+00 3.822318e+00 3.854172e+00 3.854172e+00
3.005121e+00 2.826175e+00 3.195398e+00 2.308122e+02 -4.092048e-01 4.092048e-01 -3.081261e+00 3.081261e+00 3.108314e+00 3.108314e+00
3.389679e+00 3.195398e+00 3.595772e+00 1.905910e+02 -3.261370e-01 3.261370e-01 -2.553859e+00 2.553859e+00 2.574599e+00 2.574599e+00
3.810010e+00 3.595772e+00 4.037014e+00 1.561447e+02 -2.587543e-01 2.587543e-01 -2.034913e+00 2.034913e+00 2.051298e+00 2.051298e+00
