#   ELECTRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.700000e-01 5.000000e-01 6.500000e-01 1.470000e+01 3.000000e-01 3.000000e-01 1.600000e+00 1.600000e+00 1.627882e+00 1.627882e+00
7.300000e-01 6.500000e-01 8.200000e-01 2.430000e+01 2.000000e-01 2.000000e-01 1.600000e+00 1.600000e+00 1.612452e+00 1.612452e+00
9.100000e-01 8.200000e-01 1.010000e+00 2.080000e+01 1.000000e-01 1.000000e-01 1.400000e+00 1.400000e+00 1.403567e+00 1.403567e+00
1.110000e+00 1.010000e+00 1.220000e+00 1.830000e+01 1.000000e-01 1.000000e-01 1.200000e+00 1.200000e+00 1.204159e+00 1.204159e+00
1.330000e+00 1.220000e+00 1.460000e+00 1.640000e+01 0.000000e+00 0.000000e+00 9.000000e-01 9.000000e-01 9.000000e-01 9.000000e-01
1.580000e+00 1.460000e+00 1.720000e+00 1.370000e+01 0.000000e+00 0.000000e+00 7.000000e-01 7.000000e-01 7.000000e-01 7.000000e-01
1.850000e+00 1.720000e+00 2.000000e+00 1.110000e+01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-01 5.000000e-01 5.000000e-01
2.150000e+00 2.000000e+00 2.310000e+00 8.940000e+00 1.000000e-02 1.000000e-02 4.000000e-01 4.000000e-01 4.001250e-01 4.001250e-01
2.470000e+00 2.310000e+00 2.650000e+00 7.100000e+00 1.000000e-02 1.000000e-02 3.000000e-01 3.000000e-01 3.001666e-01 3.001666e-01
2.820000e+00 2.650000e+00 3.000000e+00 5.490000e+00 1.000000e-02 1.000000e-02 2.200000e-01 2.200000e-01 2.202272e-01 2.202272e-01
3.170000e+00 3.000000e+00 3.360000e+00 4.610000e+00 1.000000e-02 1.000000e-02 1.700000e-01 1.700000e-01 1.702939e-01 1.702939e-01
3.540000e+00 3.360000e+00 3.730000e+00 3.620000e+00 1.000000e-02 1.000000e-02 1.300000e-01 1.300000e-01 1.303840e-01 1.303840e-01
3.920000e+00 3.730000e+00 4.120000e+00 2.870000e+00 0.000000e+00 0.000000e+00 1.000000e-01 1.000000e-01 1.000000e-01 1.000000e-01
4.320000e+00 4.120000e+00 4.540000e+00 2.270000e+00 0.000000e+00 0.000000e+00 8.000000e-02 8.000000e-02 8.000000e-02 8.000000e-02
4.760000e+00 4.540000e+00 5.000000e+00 1.800000e+00 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02 6.000000e-02 6.000000e-02
5.240000e+00 5.000000e+00 5.490000e+00 1.420000e+00 0.000000e+00 0.000000e+00 4.000000e-02 4.000000e-02 4.000000e-02 4.000000e-02
5.740000e+00 5.490000e+00 6.000000e+00 1.110000e+00 0.000000e+00 0.000000e+00 3.000000e-02 3.000000e-02 3.000000e-02 3.000000e-02
6.260000e+00 6.000000e+00 6.540000e+00 8.800000e-01 1.000000e-03 1.000000e-03 2.500000e-02 2.500000e-02 2.501999e-02 2.501999e-02
6.810000e+00 6.540000e+00 7.100000e+00 6.950000e-01 1.000000e-03 1.000000e-03 2.000000e-02 2.000000e-02 2.002498e-02 2.002498e-02
7.390000e+00 7.100000e+00 7.690000e+00 5.510000e-01 1.000000e-03 1.000000e-03 1.500000e-02 1.500000e-02 1.503330e-02 1.503330e-02
7.990000e+00 7.690000e+00 8.300000e+00 4.360000e-01 1.000000e-03 1.000000e-03 1.200000e-02 1.200000e-02 1.204159e-02 1.204159e-02
8.620000e+00 8.300000e+00 8.950000e+00 3.500000e-01 1.000000e-03 1.000000e-03 1.000000e-02 1.000000e-02 1.004988e-02 1.004988e-02
9.280000e+00 8.950000e+00 9.620000e+00 2.780000e-01 1.000000e-03 1.000000e-03 8.000000e-03 8.000000e-03 8.062258e-03 8.062258e-03
9.960000e+00 9.620000e+00 1.030000e+01 2.240000e-01 1.000000e-03 1.000000e-03 6.000000e-03 6.000000e-03 6.082763e-03 6.082763e-03
1.070000e+01 1.030000e+01 1.100000e+01 1.790000e-01 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03 4.000000e-03 4.000000e-03
1.140000e+01 1.100000e+01 1.180000e+01 1.470000e-01 0.000000e+00 0.000000e+00 3.000000e-03 3.000000e-03 3.000000e-03 3.000000e-03
1.220000e+01 1.180000e+01 1.260000e+01 1.190000e-01 0.000000e+00 0.000000e+00 3.000000e-03 3.000000e-03 3.000000e-03 3.000000e-03
1.300000e+01 1.260000e+01 1.340000e+01 9.730000e-02 3.000000e-04 3.000000e-04 2.300000e-03 2.300000e-03 2.319483e-03 2.319483e-03
