#   ELECTRON  PAMELA(2006/07-2010/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.110000e+00 1.110000e+00 1.110000e+00 3.120000e+01 2.000000e-01 2.000000e-01 1.300000e+00 1.300000e+00 1.315295e+00 1.315295e+00
1.280000e+00 1.280000e+00 1.280000e+00 2.670000e+01 2.000000e-01 2.000000e-01 1.100000e+00 1.100000e+00 1.118034e+00 1.118034e+00
1.470000e+00 1.470000e+00 1.470000e+00 2.300000e+01 1.000000e-01 1.000000e-01 1.000000e+00 1.000000e+00 1.004988e+00 1.004988e+00
1.680000e+00 1.680000e+00 1.680000e+00 1.880000e+01 1.000000e-01 1.000000e-01 8.000000e-01 8.000000e-01 8.062258e-01 8.062258e-01
1.930000e+00 1.930000e+00 1.930000e+00 1.503000e+01 8.000000e-02 8.000000e-02 6.000000e-01 6.000000e-01 6.053098e-01 6.053098e-01
2.220000e+00 2.220000e+00 2.220000e+00 1.194000e+01 7.000000e-02 7.000000e-02 5.000000e-01 5.000000e-01 5.048762e-01 5.048762e-01
2.550000e+00 2.550000e+00 2.550000e+00 8.970000e+00 5.000000e-02 5.000000e-02 4.000000e-01 4.000000e-01 4.031129e-01 4.031129e-01
2.920000e+00 2.920000e+00 2.920000e+00 6.670000e+00 4.000000e-02 4.000000e-02 3.000000e-01 3.000000e-01 3.026549e-01 3.026549e-01
3.360000e+00 3.360000e+00 3.360000e+00 4.760000e+00 3.000000e-02 3.000000e-02 2.000000e-01 2.000000e-01 2.022375e-01 2.022375e-01
3.850000e+00 3.850000e+00 3.850000e+00 3.400000e+00 2.000000e-02 2.000000e-02 1.000000e-01 1.000000e-01 1.019804e-01 1.019804e-01
4.420000e+00 4.420000e+00 4.420000e+00 2.300000e+00 2.000000e-02 2.000000e-02 1.000000e-01 1.000000e-01 1.019804e-01 1.019804e-01
5.100000e+00 5.100000e+00 5.100000e+00 1.560000e+00 1.000000e-02 1.000000e-02 7.000000e-02 7.000000e-02 7.071068e-02 7.071068e-02
5.800000e+00 5.800000e+00 5.800000e+00 1.060000e+00 1.000000e-02 1.000000e-02 5.000000e-02 5.000000e-02 5.099020e-02 5.099020e-02
6.700000e+00 6.700000e+00 6.700000e+00 7.200000e-01 7.000000e-03 7.000000e-03 3.000000e-02 3.000000e-02 3.080584e-02 3.080584e-02
7.700000e+00 7.700000e+00 7.700000e+00 4.700000e-01 5.000000e-03 5.000000e-03 2.000000e-02 2.000000e-02 2.061553e-02 2.061553e-02
8.800000e+00 8.800000e+00 8.800000e+00 3.100000e-01 4.000000e-03 4.000000e-03 1.000000e-02 1.000000e-02 1.077033e-02 1.077033e-02
1.010000e+01 1.010000e+01 1.010000e+01 1.910000e-01 3.000000e-03 3.000000e-03 8.000000e-03 8.000000e-03 8.544004e-03 8.544004e-03
1.160000e+01 1.160000e+01 1.160000e+01 1.260000e-01 2.000000e-03 2.000000e-03 5.000000e-03 5.000000e-03 5.385165e-03 5.385165e-03
1.340000e+01 1.340000e+01 1.340000e+01 7.900000e-02 2.000000e-03 2.000000e-03 3.000000e-03 3.000000e-03 3.605551e-03 3.605551e-03
1.530000e+01 1.530000e+01 1.530000e+01 5.200000e-02 1.000000e-03 1.000000e-03 2.000000e-03 2.000000e-03 2.236068e-03 2.236068e-03
1.760000e+01 1.760000e+01 1.760000e+01 3.260000e-02 8.000000e-04 8.000000e-04 1.000000e-03 1.000000e-03 1.280625e-03 1.280625e-03
2.020000e+01 2.020000e+01 2.020000e+01 2.080000e-02 6.000000e-04 6.000000e-04 9.000000e-04 9.000000e-04 1.081665e-03 1.081665e-03
2.320000e+01 2.320000e+01 2.320000e+01 1.260000e-02 4.000000e-04 4.000000e-04 5.000000e-04 5.000000e-04 6.403124e-04 6.403124e-04
2.660000e+01 2.660000e+01 2.660000e+01 8.900000e-03 3.000000e-04 3.000000e-04 4.000000e-04 4.000000e-04 5.000000e-04 5.000000e-04
3.060000e+01 3.060000e+01 3.060000e+01 5.200000e-03 2.000000e-04 2.000000e-04 2.000000e-04 2.000000e-04 2.828427e-04 2.828427e-04
3.510000e+01 3.510000e+01 3.510000e+01 3.700000e-03 2.000000e-04 2.000000e-04 2.000000e-04 2.000000e-04 2.828427e-04 2.828427e-04
4.030000e+01 4.030000e+01 4.030000e+01 2.200000e-03 1.000000e-04 1.000000e-04 9.000000e-05 9.000000e-05 1.345362e-04 1.345362e-04
4.630000e+01 4.630000e+01 4.630000e+01 1.400000e-03 1.000000e-04 1.000000e-04 6.000000e-05 6.000000e-05 1.166190e-04 1.166190e-04
5.320000e+01 5.320000e+01 5.320000e+01 1.040000e-03 8.000000e-05 8.000000e-05 4.000000e-05 4.000000e-05 8.944272e-05 8.944272e-05
6.100000e+01 6.100000e+01 6.100000e+01 5.500000e-04 5.000000e-05 5.000000e-05 2.000000e-05 2.000000e-05 5.385165e-05 5.385165e-05
7.010000e+01 7.010000e+01 7.010000e+01 4.100000e-04 4.000000e-05 4.000000e-05 2.000000e-05 2.000000e-05 4.472136e-05 4.472136e-05
8.050000e+01 8.050000e+01 8.050000e+01 2.100000e-04 3.000000e-05 3.000000e-05 9.000000e-06 9.000000e-06 3.132092e-05 3.132092e-05
9.240000e+01 9.240000e+01 9.240000e+01 1.500000e-04 2.000000e-05 2.000000e-05 7.000000e-06 7.000000e-06 2.118962e-05 2.118962e-05
1.085000e+02 1.085000e+02 1.085000e+02 1.000000e-04 2.000000e-05 2.000000e-05 4.000000e-06 4.000000e-06 2.039608e-05 2.039608e-05
1.304000e+02 1.304000e+02 1.304000e+02 7.000000e-05 1.000000e-05 1.000000e-05 3.000000e-06 3.000000e-06 1.044031e-05 1.044031e-05
1.638000e+02 1.638000e+02 1.638000e+02 2.700000e-05 5.000000e-06 5.000000e-06 1.000000e-06 1.000000e-06 5.099020e-06 5.099020e-06
2.207000e+02 2.207000e+02 2.207000e+02 9.600000e-06 2.500000e-06 3.000000e-06 5.000000e-07 5.000000e-07 2.549510e-06 3.041381e-06
3.179000e+02 3.179000e+02 3.179000e+02 2.800000e-06 1.100000e-06 1.300000e-06 1.000000e-07 1.000000e-07 1.104536e-06 1.303840e-06
4.914000e+02 4.914000e+02 4.914000e+02 9.000000e-07 6.000000e-07 7.000000e-07 1.000000e-07 1.000000e-07 6.082763e-07 7.071068e-07
