#   ELECTRON  PAMELA(2007/07-2007/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.366600e-02 7.000000e-02 1.000000e-01 1.248000e+01 1.780000e+00 1.780000e+00 5.900000e-01 5.900000e-01 1.875233e+00 1.875233e+00
1.224740e-01 1.000000e-01 1.500000e-01 1.261000e+01 9.300000e-01 9.300000e-01 5.700000e-01 5.700000e-01 1.090780e+00 1.090780e+00
1.732050e-01 1.500000e-01 2.000000e-01 1.918000e+01 9.200000e-01 9.200000e-01 8.600000e-01 8.600000e-01 1.259365e+00 1.259365e+00
2.236070e-01 2.000000e-01 2.500000e-01 2.799000e+01 1.320000e+00 1.320000e+00 1.260000e+00 1.260000e+00 1.824829e+00 1.824829e+00
2.738610e-01 2.500000e-01 3.000000e-01 3.407000e+01 1.310000e+00 1.310000e+00 1.540000e+00 1.540000e+00 2.021806e+00 2.021806e+00
3.240370e-01 3.000000e-01 3.500000e-01 3.892000e+01 1.340000e+00 1.340000e+00 1.750000e+00 1.750000e+00 2.204110e+00 2.204110e+00
4.183300e-01 3.500000e-01 5.000000e-01 4.144000e+01 8.200000e-01 8.200000e-01 1.850000e+00 1.850000e+00 2.023586e+00 2.023586e+00
5.916080e-01 5.000000e-01 7.000000e-01 4.471000e+01 6.100000e-01 6.100000e-01 2.100000e+00 2.100000e+00 2.186801e+00 2.186801e+00
7.937250e-01 7.000000e-01 9.000000e-01 4.348000e+01 4.400000e-01 4.400000e-01 2.040000e+00 2.040000e+00 2.086912e+00 2.086912e+00
9.949870e-01 9.000000e-01 1.100000e+00 3.725000e+01 4.000000e-01 4.000000e-01 1.750000e+00 1.750000e+00 1.795132e+00 1.795132e+00
1.195830e+00 1.100000e+00 1.300000e+00 3.143000e+01 3.600000e-01 3.600000e-01 1.480000e+00 1.480000e+00 1.523155e+00 1.523155e+00
1.396420e+00 1.300000e+00 1.500000e+00 2.648000e+01 2.700000e-01 2.700000e-01 1.250000e+00 1.250000e+00 1.278828e+00 1.278828e+00
1.596870e+00 1.500000e+00 1.700000e+00 2.247000e+01 2.500000e-01 2.500000e-01 1.060000e+00 1.060000e+00 1.089082e+00 1.089082e+00
1.843910e+00 1.700000e+00 2.000000e+00 1.810000e+01 1.800000e-01 1.800000e-01 8.500000e-01 8.500000e-01 8.688498e-01 8.688498e-01
2.144760e+00 2.000000e+00 2.300000e+00 1.419000e+01 1.500000e-01 1.500000e-01 6.700000e-01 6.700000e-01 6.865858e-01 6.865858e-01
2.445400e+00 2.300000e+00 2.600000e+00 1.131000e+01 1.200000e-01 1.200000e-01 5.300000e-01 5.300000e-01 5.434151e-01 5.434151e-01
2.792850e+00 2.600000e+00 3.000000e+00 8.270000e+00 9.000000e-02 9.000000e-02 3.900000e-01 3.900000e-01 4.002499e-01 4.002499e-01
3.464100e+00 3.000000e+00 4.000000e+00 5.070000e+00 5.000000e-02 5.000000e-02 2.400000e-01 2.400000e-01 2.451530e-01 2.451530e-01
4.472140e+00 4.000000e+00 5.000000e+00 2.600000e+00 3.000000e-02 3.000000e-02 1.200000e-01 1.200000e-01 1.236932e-01 1.236932e-01
6.123720e+00 5.000000e+00 7.500000e+00 1.080000e+00 1.000000e-02 1.000000e-02 5.000000e-02 5.000000e-02 5.099020e-02 5.099020e-02
8.660250e+00 7.500000e+00 1.000000e+01 3.680000e-01 6.000000e-03 6.000000e-03 1.700000e-02 1.700000e-02 1.802776e-02 1.802776e-02
1.140180e+01 1.000000e+01 1.300000e+01 1.560000e-01 3.000000e-03 3.000000e-03 7.000000e-03 7.000000e-03 7.615773e-03 7.615773e-03
1.486610e+01 1.300000e+01 1.700000e+01 6.200000e-02 1.700000e-03 1.700000e-03 2.900000e-03 2.900000e-03 3.361547e-03 3.361547e-03
1.933910e+01 1.700000e+01 2.200000e+01 2.400000e-02 8.000000e-04 8.000000e-04 1.100000e-03 1.100000e-03 1.360147e-03 1.360147e-03
2.569050e+01 2.200000e+01 3.000000e+01 1.120000e-02 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 7.071068e-04 7.071068e-04
3.872980e+01 3.000000e+01 5.000000e+01 2.770000e-03 1.400000e-04 1.400000e-04 1.300000e-04 1.300000e-04 1.910497e-04 1.910497e-04
