#   ELECTRON  PAMELA(2009/01-2009/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.366600e-02 7.000000e-02 1.000000e-01 1.689000e+01 3.990000e+00 3.990000e+00 9.200000e-01 9.200000e-01 4.094692e+00 4.094692e+00
1.224740e-01 1.000000e-01 1.500000e-01 1.991000e+01 2.270000e+00 2.270000e+00 9.600000e-01 9.600000e-01 2.464650e+00 2.464650e+00
1.732050e-01 1.500000e-01 2.000000e-01 2.840000e+01 2.140000e+00 2.140000e+00 1.330000e+00 1.330000e+00 2.519623e+00 2.519623e+00
2.236070e-01 2.000000e-01 2.500000e-01 3.329000e+01 2.610000e+00 2.610000e+00 1.540000e+00 1.540000e+00 3.030462e+00 3.030462e+00
2.738610e-01 2.500000e-01 3.000000e-01 4.250000e+01 2.640000e+00 2.640000e+00 2.020000e+00 2.020000e+00 3.324154e+00 3.324154e+00
3.240370e-01 3.000000e-01 3.500000e-01 4.834000e+01 2.700000e+00 2.700000e+00 2.280000e+00 2.280000e+00 3.533893e+00 3.533893e+00
4.183300e-01 3.500000e-01 5.000000e-01 5.400000e+01 1.700000e+00 1.700000e+00 2.460000e+00 2.460000e+00 2.990251e+00 2.990251e+00
5.916080e-01 5.000000e-01 7.000000e-01 5.492000e+01 1.030000e+00 1.030000e+00 2.640000e+00 2.640000e+00 2.833814e+00 2.833814e+00
7.937250e-01 7.000000e-01 9.000000e-01 4.995000e+01 7.200000e-01 7.200000e-01 2.400000e+00 2.400000e+00 2.505674e+00 2.505674e+00
9.949870e-01 9.000000e-01 1.100000e+00 4.288000e+01 6.600000e-01 6.600000e-01 2.060000e+00 2.060000e+00 2.163146e+00 2.163146e+00
1.195830e+00 1.100000e+00 1.300000e+00 3.686000e+01 6.100000e-01 6.100000e-01 1.770000e+00 1.770000e+00 1.872165e+00 1.872165e+00
1.396420e+00 1.300000e+00 1.500000e+00 3.039000e+01 4.500000e-01 4.500000e-01 1.470000e+00 1.470000e+00 1.537335e+00 1.537335e+00
1.596870e+00 1.500000e+00 1.700000e+00 2.517000e+01 4.000000e-01 4.000000e-01 1.210000e+00 1.210000e+00 1.274402e+00 1.274402e+00
1.843910e+00 1.700000e+00 2.000000e+00 2.015000e+01 2.900000e-01 2.900000e-01 9.700000e-01 9.700000e-01 1.012423e+00 1.012423e+00
2.144760e+00 2.000000e+00 2.300000e+00 1.572000e+01 2.400000e-01 2.400000e-01 7.500000e-01 7.500000e-01 7.874643e-01 7.874643e-01
2.445400e+00 2.300000e+00 2.600000e+00 1.205000e+01 1.900000e-01 1.900000e-01 5.700000e-01 5.700000e-01 6.008328e-01 6.008328e-01
2.792850e+00 2.600000e+00 3.000000e+00 8.750000e+00 1.400000e-01 1.400000e-01 4.200000e-01 4.200000e-01 4.427189e-01 4.427189e-01
3.464100e+00 3.000000e+00 4.000000e+00 5.310000e+00 7.000000e-02 7.000000e-02 2.500000e-01 2.500000e-01 2.596151e-01 2.596151e-01
4.472140e+00 4.000000e+00 5.000000e+00 2.730000e+00 5.000000e-02 5.000000e-02 1.300000e-01 1.300000e-01 1.392839e-01 1.392839e-01
6.123720e+00 5.000000e+00 7.500000e+00 1.100000e+00 2.000000e-02 2.000000e-02 5.000000e-02 5.000000e-02 5.385165e-02 5.385165e-02
8.660250e+00 7.500000e+00 1.000000e+01 3.840000e-01 1.000000e-02 1.000000e-02 1.800000e-02 1.800000e-02 2.059126e-02 2.059126e-02
1.140180e+01 1.000000e+01 1.300000e+01 1.470000e-01 5.000000e-03 5.000000e-03 7.000000e-03 7.000000e-03 8.602325e-03 8.602325e-03
1.486610e+01 1.300000e+01 1.700000e+01 6.060000e-02 2.500000e-03 2.500000e-03 2.900000e-03 2.900000e-03 3.828838e-03 3.828838e-03
1.933910e+01 1.700000e+01 2.200000e+01 2.650000e-02 1.400000e-03 1.400000e-03 1.300000e-03 1.300000e-03 1.910497e-03 1.910497e-03
2.569050e+01 2.200000e+01 3.000000e+01 1.010000e-02 6.000000e-04 6.000000e-04 5.000000e-04 5.000000e-04 7.810250e-04 7.810250e-04
3.872980e+01 3.000000e+01 5.000000e+01 2.820000e-03 2.200000e-04 2.200000e-04 1.400000e-04 1.400000e-04 2.607681e-04 2.607681e-04
