#   H  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.897100e-01 4.330753e-01 5.537938e-01 8.315484e+02 1.061156e+00 1.061156e+00 3.554873e+01 3.554873e+01 3.556456e+01 3.556456e+01
6.179475e-01 5.537938e-01 6.894980e-01 8.303495e+02 5.013431e-01 5.013431e-01 2.832589e+01 2.832589e+01 2.833033e+01 2.833033e+01
7.609014e-01 6.894980e-01 8.396251e-01 7.714410e+02 4.797518e-01 4.797518e-01 2.122902e+01 2.122902e+01 2.123444e+01 2.123444e+01
9.220091e-01 8.396251e-01 1.012372e+00 7.016549e+02 3.474112e-01 3.474112e-01 1.748636e+01 1.748636e+01 1.748981e+01 1.748981e+01
1.101725e+00 1.012372e+00 1.198879e+00 6.243321e+02 2.252280e-01 2.252280e-01 1.418937e+01 1.418937e+01 1.419116e+01 1.419116e+01
1.299135e+00 1.198879e+00 1.407710e+00 5.499779e+02 2.202996e-01 2.202996e-01 1.145558e+01 1.145558e+01 1.145770e+01 1.145770e+01
1.518869e+00 1.407710e+00 1.638792e+00 4.782251e+02 2.163915e-01 2.163915e-01 9.196637e+00 9.196637e+00 9.199182e+00 9.199182e+00
1.760813e+00 1.638792e+00 1.891975e+00 4.135836e+02 1.066487e-01 1.066487e-01 7.358759e+00 7.358759e+00 7.359532e+00 7.359532e+00
2.029244e+00 1.891975e+00 2.176605e+00 3.540560e+02 1.054052e-01 1.054052e-01 5.902689e+00 5.902689e+00 5.903630e+00 5.903630e+00
2.324695e+00 2.176605e+00 2.483106e+00 3.009032e+02 1.044078e-01 1.044078e-01 4.802757e+00 4.802757e+00 4.803892e+00 4.803892e+00
2.646460e+00 2.483106e+00 2.820918e+00 2.541565e+02 1.036105e-01 1.036105e-01 3.833587e+00 3.833587e+00 3.834987e+00 3.834987e+00
2.999540e+00 2.820918e+00 3.189986e+00 2.129299e+02 1.029642e-01 1.029642e-01 3.088926e+00 3.088926e+00 3.090642e+00 3.090642e+00
3.383881e+00 3.189986e+00 3.590220e+00 1.773268e+02 1.024418e-01 1.024418e-01 2.561045e+00 2.561045e+00 2.563093e+00 2.563093e+00
3.803991e+00 3.590220e+00 4.031334e+00 1.466986e+02 0.000000e+00 0.000000e+00 2.040314e+00 2.040314e+00 2.040314e+00 2.040314e+00
4.265023e+00 4.031334e+00 4.513310e+00 1.203722e+02 0.000000e+00 0.000000e+00 1.626652e+00 1.626652e+00 1.626652e+00 1.626652e+00
4.766954e+00 4.513310e+00 5.036101e+00 9.824707e+01 3.041391e-02 3.041391e-02 1.317936e+00 1.317936e+00 1.318287e+00 1.318287e+00
5.309718e+00 5.036101e+00 5.599644e+00 7.993603e+01 2.022929e-02 2.022929e-02 1.051923e+00 1.051923e+00 1.052117e+00 1.052117e+00
5.897924e+00 5.599644e+00 6.213783e+00 6.481305e+01 2.019098e-02 2.019098e-02 8.379258e-01 8.379258e-01 8.381690e-01 8.381690e-01
6.536771e+00 6.213783e+00 6.878489e+00 5.238409e+01 2.015936e-02 2.015936e-02 6.753385e-01 6.753385e-01 6.756393e-01 6.756393e-01
7.226217e+00 6.878489e+00 7.593724e+00 4.227997e+01 1.006666e-02 1.006666e-02 5.435997e-01 5.435997e-01 5.436929e-01 5.436929e-01
7.970941e+00 7.593724e+00 8.369390e+00 3.404925e+01 1.005589e-02 1.005589e-02 4.324034e-01 4.324034e-01 4.325203e-01 4.325203e-01
8.776157e+00 8.369390e+00 9.205467e+00 2.736788e+01 1.004695e-02 1.004695e-02 3.415962e-01 3.415962e-01 3.417439e-01 3.417439e-01
